_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
8817,57303,2591,Pond,None,Open Water,None,CANADIAN UKRAINIAN MEMORIAL PARK - Open Water
8818,2930,2593,Ball Hockey Pad,None,Ball Hockey Pad,None,MALVERN PARK - Ball Hockey
8819,2931,2593,Pickleball Court,None,None,None,MALVERN PARK - Tennis Court Area
8820,2932,2593,Outdoor Tennis Court,None,Outdoor Tennis Court,None,MALVERN PARK - Outdoor Tennis Court (  1)
8821,2933,2593,Outdoor Tennis Court,None,Outdoor Tennis Court,None,MALVERN PARK - Outdoor Tennis Court (  2)
8822,2934,2593,Outdoor Tennis Court,None,Outdoor Tennis Court,None,MALVERN PARK - Outdoor Tennis Court (  3)
8823,2935,2593,Washroom Facility,None,Washroom Building,None,MALVERN PARK - Volleyball Court
8824,2935,2593,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,MALVERN PARK - Volleyball Court
8825,17849,2593,Ball Diamond,sport,Baseball Diamond Field - A,A,MALVERN PARK - Ball Diamond Field
8826,17850,2593,Sport Field,sport,Soccer Field - A,A,MALVERN PARK - Soccer Field
8827,32389,2593,Parking Lot,None,Outdoor Parking Lot,None,MALVERN PARK - Outdoor Parking Lot
8828,43671,2593,Sports Pad Area,None,Sportspad Area,None,MALVERN PARK - Sportspad Area
8829,102219,2593,Drinking Fountain,None,Drinking Fountain Count,None,MALVERN PARK - Drinking Water Source (  1)
8830,102220,2593,Drinking Fountain,None,Drinking Fountain Count,None,MALVERN PARK - Drinking Water Source (  2)
8831,28546,2594,Community Garden,None,Community Garden,None,GARRISON CREEK PARK COMMUNITY GARDEN (  1)
8832,49382,2594,Community Garden,None,Community Garden,None,GARRISON CREEK PARK COMMUNITY GARDEN (  2)
8833,2631,2595,Dog Fountain,None,Dog Fountain Count,None,SHAWNEE PARK - Drinking Water Source
8834,2631,2595,Drinking Fountain,None,Drinking Fountain Count,None,SHAWNEE PARK - Drinking Water Source
8835,3736,2595,Pickleball Court,None,None,None,SHAWNEE PARK - Tennis Court Area
8836,3737,2595,Outdoor Tennis Court,None,Outdoor Tennis Court,None,SHAWNEE PARK - Outdoor Tennis Court (  1)
8837,3738,2595,Outdoor Tennis Court,None,Outdoor Tennis Court,None,SHAWNEE PARK - Outdoor Tennis Court (  2)
8838,3739,2595,Outdoor Tennis Court,None,Outdoor Tennis Court,None,SHAWNEE PARK - Outdoor Tennis Court (  3)
8839,3740,2595,Outdoor Tennis Court,None,Outdoor Tennis Court,None,SHAWNEE PARK - Outdoor Tennis Court (  4)
8840,33926,2595,Playground,None,Playground Site,None,SHAWNEE PARK - Playground
8841,60922,2595,Community Garden,None,Community Garden,None,SHAWNEE PARK - Community Garden
8842,79403,2595,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,SHAWNEE PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  1)
8843,79404,2595,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,SHAWNEE PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  2)
8844,79405,2595,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,SHAWNEE PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  3)
8845,79406,2595,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,SHAWNEE PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  4)
8846,79407,2595,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,SHAWNEE PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  5)
8847,79408,2595,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,SHAWNEE PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  6)
8848,79409,2595,Outdoor Chess Table,None,Outdoor Chess Table,None,SHAWNEE PARK - Outdoor Chess Table (  1)
8849,79410,2595,Outdoor Chess Table,None,Outdoor Chess Table,None,SHAWNEE PARK - Outdoor Chess Table (  2)
8850,72306,2597,Playground,None,Playground Site,None,ETHENNONNHAWAHSTIHNEN PARK - Playground
8851,75906,2597,Outdoor Rink,ice,Outdoor Ice Pad,None,ETHENNONNHAWAHSTIHNEN PARK - Outdoor Ice Pad
8852,75926,2597,Multipurpose Field,None,Multipurpose Field,None,ETHENNONNHAWAHSTIHNEN PARK - Multipurpose Field
8853,75927,2597,Splash Pad,None,Splash/Spray Pad,None,ETHENNONNHAWAHSTIHNEN PARK - Splash/Spray Pad
